reference_index,reference_id,parent_reference_index,parent_reference_id,source_id,source_archive,source_member,speed,cell_column,cell_row,length,hit_step,inactive_start_step,source_frames,tags
0,A3STRIKE-FULLCOVER-V02-R000000,1,A3STRIKE-FULLCOVER-R000001,A3STRIKE-FULLCOVER-S000001,strike_clips.zip,strike_clips/pair_017_strike_anchor_008931.npz,1.0,2,2,80,15,80,50,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
1,A3STRIKE-FULLCOVER-V02-R000001,2,A3STRIKE-FULLCOVER-R000002,A3STRIKE-FULLCOVER-S000002,strike_clips.zip,strike_clips/pair_018_strike_anchor_009311.npz,1.0,3,2,80,15,80,50,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
2,A3STRIKE-FULLCOVER-V02-R000002,3,A3STRIKE-FULLCOVER-R000003,A3STRIKE-FULLCOVER-S000003,clips.zip,clips/strike_003_frame_001387.npz,1.0,4,1,219,87,219,189,task=strike|speed=speed_1p0|cell=cell_4_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
3,A3STRIKE-FULLCOVER-V02-R000003,4,A3STRIKE-FULLCOVER-R000004,A3STRIKE-FULLCOVER-S000004,clips.zip,clips/strike_008_frame_003963.npz,1.0,3,2,219,95,219,189,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
4,A3STRIKE-FULLCOVER-V02-R000004,5,A3STRIKE-FULLCOVER-R000005,A3STRIKE-FULLCOVER-S000005,clips.zip,clips/strike_009_frame_004413.npz,1.0,3,2,217,93,217,187,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
5,A3STRIKE-FULLCOVER-V02-R000005,6,A3STRIKE-FULLCOVER-R000006,A3STRIKE-FULLCOVER-S000006,clips.zip,clips/strike_010_frame_004866.npz,1.0,3,1,232,94,232,202,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
6,A3STRIKE-FULLCOVER-V02-R000006,7,A3STRIKE-FULLCOVER-R000007,A3STRIKE-FULLCOVER-S000007,clips.zip,clips/strike_013_frame_006264.npz,1.0,4,2,222,85,222,192,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
7,A3STRIKE-FULLCOVER-V02-R000007,8,A3STRIKE-FULLCOVER-R000008,A3STRIKE-FULLCOVER-S000008,clips.zip,clips/strike_014_frame_006778.npz,1.0,4,2,236,107,236,206,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
8,A3STRIKE-FULLCOVER-V02-R000008,9,A3STRIKE-FULLCOVER-R000009,A3STRIKE-FULLCOVER-S000009,clips.zip,clips/strike_015_frame_007252.npz,1.0,4,2,220,98,220,190,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
9,A3STRIKE-FULLCOVER-V02-R000009,10,A3STRIKE-FULLCOVER-R000010,A3STRIKE-FULLCOVER-S000010,clips.zip,clips/strike_017_frame_008154.npz,1.0,4,2,220,96,220,190,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
10,A3STRIKE-FULLCOVER-V02-R000010,11,A3STRIKE-FULLCOVER-R000011,A3STRIKE-FULLCOVER-S000011,clips.zip,clips/strike_018_frame_008607.npz,1.0,4,2,218,94,218,188,task=strike|speed=speed_1p0|cell=cell_4_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
11,A3STRIKE-FULLCOVER-V02-R000011,12,A3STRIKE-FULLCOVER-R000012,A3STRIKE-FULLCOVER-S000012,clips.zip,clips/strike_020_frame_009465.npz,1.0,3,2,203,85,203,173,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
12,A3STRIKE-FULLCOVER-V02-R000012,13,A3STRIKE-FULLCOVER-R000013,A3STRIKE-FULLCOVER-S000013,clips.zip,clips/strike_025_frame_011826.npz,1.0,3,3,253,111,253,223,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
13,A3STRIKE-FULLCOVER-V02-R000013,14,A3STRIKE-FULLCOVER-R000014,A3STRIKE-FULLCOVER-S000014,clips.zip,clips/strike_027_frame_012919.npz,1.0,3,3,261,115,261,231,task=strike|speed=speed_1p0|cell=cell_3_3|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
14,A3STRIKE-FULLCOVER-V02-R000014,15,A3STRIKE-FULLCOVER-R000015,A3STRIKE-FULLCOVER-S000015,clips.zip,clips/strike_029_frame_013942.npz,1.0,3,2,235,97,235,205,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
15,A3STRIKE-FULLCOVER-V02-R000015,16,A3STRIKE-FULLCOVER-R000016,A3STRIKE-FULLCOVER-S000016,clips.zip,clips/strike_031_frame_014912.npz,1.0,4,1,213,94,213,183,task=strike|speed=speed_1p0|cell=cell_4_1|alignment=start_xy_home|yaw=source_preserved|provenance=retained_core96
